keys,zh_CN,en
ui.run.state,"状态：{state}","State: {state}"
ui.run.turn,"回合：{turn}","Turn: {turn}"
ui.run.score,"分数：{score} / {target}","Score: {score} / {target}"
ui.run.contract,"合同：{summary}","Contract: {summary}"
ui.run.mode_button,"模式：{mode}","Mode: {mode}"
ui.run.action,"操作：{action} | 下一个：{token}","Action: {action} | Next: {token}"
ui.run.state_placeholder,"状态：初始化","State: Boot"
ui.run.turn_placeholder,"回合：1","Turn: 1"
ui.run.score_placeholder,"分数：0 / 10","Score: 0 / 10"
ui.run.contract_placeholder,"合同：无","Contract: None"
ui.run.mode_button_placeholder,"模式：自动","Mode: Auto"
ui.run.action_placeholder,"操作：放置 | 下一个：余烬","Action: Place | Next: Ember"
ui.console.title,"控制台  [ ` ] 关闭","Console  [ ` ] to close"
ui.board.empty," "," "
ui.board.empty_token,"空格","Empty Token"
ui.board.empty_slot_short,"·","·"
ui.tooltip.tags,"标签：{tags}","Tags: {tags}"
ui.tooltip.base_value,"基础值：{value}","Base Value: {value}"
ui.turn_controls.settle,"结算","Settle"
ui.turn_controls.offer_title,"奖励选择","Reward Offer"
ui.turn_controls.offer_placeholder,"奖励","Offer"
ui.turn_controls.next_turn,"下一回合","Next Turn"
ui.turn_controls.continue,"继续","Continue"
ui.event_draft.title,"事件","Event Draft"
ui.event_draft.summary_placeholder,"选择一个事件。","Choose an event."
ui.event_draft.option_placeholder,"事件选项","Event Option"
ui.event_draft.confirm,"确认","Confirm"
ui.settlement.title,"结算日志","Settlement Log"
ui.settlement.log_with_pos,"{index} | ({x},{y}) {token} | {phase} | {delta}","{index} | ({x},{y}) {token} | {phase} | {delta}"
ui.settlement.log_without_pos,"{index} | {phase} | {delta}","{index} | {phase} | {delta}"
ui.contract.none,"无","None"
ui.offer.no_token,"无 Token","No Token"
ui.token.none,"无操作","No-op"
ui.meta.title,"元成长","Meta Progression"
ui.meta.summary,"这里会显示已解锁的英雄、飞升轨道和异常系统。","Unlocked heroes, ascension tracks, and anomaly systems appear here."
ui.endless.title,"无尽总结","Endless Summary"
ui.endless.loop_placeholder,"循环 1","Loop 1"
ui.endless.target_placeholder,"下一个目标 25","Next Target 25"
ui.endless.anomaly_placeholder,"当前异常：无","Active Anomaly: None"
event_draft.no_event.title,"今日无事","No Event"
event_draft.no_event.description,"风平浪静，继续前进。","Calm waters. Keep moving."
event_draft.copy_token.title,"复制 Token","Copy Token"
event_draft.copy_token.description,"选择背包中的一个 Token 进行复制。","Choose a token from the backpack to copy."
event_draft.delete_token.title,"删除 Token","Delete Token"
event_draft.delete_token.description,"选择背包中的一个 Token 将其删除。","Choose a token from the backpack to delete."
event_draft.item.title,"获得道具：{item}","Gain Item: {item}"
contract.summary.active,"目标：{goal} {value}，剩余 {turns} 回合 | 奖励 +{reward} | 惩罚 -{penalty}","Goal: {goal} {value} in {turns} turns | Reward +{reward} | Penalty -{penalty}"
