id,name,stage_id,domain,rarity,base_score,zodiac_affinity,effects,draft_weight,is_legacy,legacy_into,has_icon,description
curiosity,好奇心,childhood,,Uncommon,2,snake,zod:0/80,1.00,false,,false,为什么天是蓝的。
stubborn,倔脾气,childhood,,Common,4,snake,self:2|adj:1/25/1,1.00,false,,false,说不去就不去。
nursery_song,童谣,childhood,art,Common,2,tiger,zod:1/60,1.00,false,legacy_art_1,false,不懂词，但会唱。
crayon,蜡笔,childhood,art,Common,3,tiger,adj:1/35/1,1.00,false,legacy_art_1,false,墙是最大的画布。
neighbor_kid,邻家孩子,childhood,social,Common,2,rabbit,adj:1/45/1,1.00,false,legacy_social_1,false,隔着栅栏递过来半块糖。
playmate,玩伴,childhood,social,Common,3,rabbit,adj:2/30/1,1.00,false,legacy_social_1,false,住得近就是缘分。
hide_seek,捉迷藏,childhood,sport,Common,3,rat,adj:1/40/1,1.00,false,legacy_sport_1,false,数到十，全世界都藏起来了。
running,追跑,childhood,sport,Common,3,rat,self:3,1.00,false,legacy_sport_1,false,不为什么，就是要跑。
picture_book,图画书,childhood,study,Common,3,ox,self:3,1.00,false,legacy_study_1,false,翻烂的那几页最好看。
abacus,珠算,childhood,study,Uncommon,4,ox,zod:0/70,1.00,false,legacy_study_1,false,指头比脑子快。
piggy_bank,存钱罐,childhood,wealth,Common,3,dragon,self:4,1.00,false,legacy_wealth_1,false,摇一摇，听个响。
new_year_money,压岁钱,childhood,wealth,Uncommon,4,dragon,self:5,1.00,false,legacy_wealth_1,false,还没捂热就被收走了。
growth_spurt,抽条,adolescence,,Common,3,pig,self:4,1.00,false,,false,裤脚一年短一截。
rebellion,叛逆,adolescence,,Uncommon,7,pig,adj:0/75/2,1.00,false,,false,偏不。
sketchbook,速写本,adolescence,art,Common,4,monkey,adj:2/45/1,1.00,false,legacy_art_1,false,课本边角全是脸。
school_band,校乐队,adolescence,art,Uncommon,5,monkey,zod:2/70,1.00,false,legacy_art_1,false,跑调也一起跑。
best_friend,挚友,adolescence,social,Common,4,rooster,adj:3/40/1,1.00,false,legacy_social_1,false,什么都说，包括不该说的。
first_love,初恋,adolescence,social,Rare,6,rooster,zod:0/110,1.00,false,legacy_social_1,false,递纸条的手心全是汗。
track_team,田径队,adolescence,sport,Common,4,horse,self:4,1.00,false,legacy_sport_1,false,跑道上的白线晒得发烫。
yoyo_pro,悠悠球,adolescence,sport,Uncommon,5,horse,adj:2/55/1,1.00,false,legacy_sport_1,false,手腕一抖，全班安静。
library_card,借书证,adolescence,study,Common,4,goat,zod:0/70,1.00,false,legacy_study_1,false,一次只能借两本，太少了。
exam_ace,考试尖子,adolescence,study,Uncommon,5,goat,self:6,1.00,false,legacy_study_1,false,红榜上第一个名字。
paper_route,送报,adolescence,wealth,Common,4,dog,self:5,1.00,false,legacy_wealth_1,false,天没亮就出门。
saving_jar,攒钱,adolescence,wealth,Uncommon,5,dog,self:7,1.00,false,legacy_wealth_1,false,为了一双鞋忍了半年。
wanderlust,远行,youth,,Uncommon,5,snake,zod:0/90,1.00,false,,false,买了张最便宜的票。
all_nighter,通宵,youth,,Common,8,snake,self:5,1.00,false,,false,天亮时眼睛发涩。
street_perform,街头演出,youth,art,Common,6,tiger,adj:3/50/1,1.00,false,legacy_art_1,false,琴盒里躺着几个硬币。
first_exhibit,首展,youth,art,Uncommon,7,tiger,zod:3/80,1.00,false,legacy_art_1,false,来的人一半是朋友。
roommate,室友,youth,social,Common,6,rabbit,adj:4/45/1,1.00,false,legacy_social_1,false,深夜聊到天亮的那个人。
lover,恋人,youth,social,Rare,9,rabbit,zod:2/110,1.00,false,legacy_social_1,false,第一次觉得日子有形状。
marathon,马拉松,youth,sport,Common,6,rat,self:7,1.00,false,legacy_sport_1,false,最后五公里才开始。
team_captain,队长,youth,sport,Uncommon,7,rat,adj:3/60/1,1.00,false,legacy_sport_1,false,输了得站出来说话。
thesis,毕业论文,youth,study,Uncommon,7,ox,self:9,1.00,false,legacy_study_1,false,致谢写得比正文动情。
scholarship,奖学金,youth,study,Rare,8,ox,zod:0/120,1.00,false,legacy_study_1,false,信封比想象中薄。
first_salary,第一份薪水,youth,wealth,Common,6,dragon,self:8,1.00,false,legacy_wealth_1,false,全花在一顿饭上。
side_hustle,副业,youth,wealth,Uncommon,7,dragon,self:6|adj:2/40/1,1.00,false,legacy_wealth_1,false,白天一个人，晚上另一个。
burnout_resist,抗压,prime,,Common,8,pig,self:9,1.00,false,,false,撑住就过去了。
mentor,引路人,prime,,Rare,11,pig,adj:4/60/2,1.00,false,,false,他只说了一句话。
gallery_slot,画廊常设,prime,art,Uncommon,10,monkey,zod:4/90,1.00,false,legacy_art_1,false,有人愿意挂你的东西了。
studio,工作室,prime,art,Rare,12,monkey,adj:5/70/2,1.00,false,legacy_art_1,false,钥匙只有一把。
colleague_circle,同事圈,prime,social,Common,9,rooster,adj:5/50/1,1.00,false,legacy_social_1,false,饭桌上都是分寸。
spouse,配偶,prime,social,Rare,12,rooster,zod:3/120,1.00,false,legacy_social_1,false,吵过之后还是一起吃饭。
gym_regular,健身房常客,prime,sport,Common,9,horse,self:11,1.00,false,legacy_sport_1,false,身体是唯一还听话的东西。
amateur_league,业余联赛,prime,sport,Uncommon,10,horse,adj:4/65/1,1.00,false,legacy_sport_1,false,周末的球场比办公室真实。
certification,资格证,prime,study,Uncommon,10,goat,self:12,1.00,false,legacy_study_1,false,一张纸换一个头衔。
published_paper,论文发表,prime,study,Rare,12,goat,zod:0/130,1.00,false,legacy_study_1,false,署名第一的那次。
promotion,升职,prime,wealth,Uncommon,10,dog,self:13,1.00,false,legacy_wealth_1,false,名片重印了一次。
first_house,首套房,prime,wealth,Rare,13,dog,self:9|zod:0/80,1.00,false,legacy_wealth_1,false,钥匙在手心攥出汗。
midlife_doubt,中年之惑,midlife,,Common,10,snake,self:12,1.00,false,,false,半夜醒来数天花板。
reputation,声望,midlife,,Rare,16,snake,adj:6/75/2,1.00,false,,false,名字先到，人后到。
apprentice,弟子,midlife,art,Uncommon,14,tiger,adj:6/65/2,1.00,false,legacy_art_1,false,他学得比你快。
solo_show,个展,midlife,art,Rare,17,tiger,zod:6/100,1.00,false,legacy_art_1,false,灯打在自己的名字上。
family_dinner,家宴,midlife,social,Common,12,rabbit,adj:7/55/1,1.00,false,legacy_social_1,false,一年到头就这一桌。
old_friend,旧交,midlife,social,Uncommon,14,rabbit,zod:4/110,1.00,false,legacy_social_1,false,十年没见，落座就接上了。
veteran_runner,老将,midlife,sport,Common,13,rat,self:15,1.00,false,legacy_sport_1,false,配速慢了，路还是那条。
coach,教练,midlife,sport,Uncommon,15,rat,adj:6/70/1,1.00,false,legacy_sport_1,false,喊别人跑比自己跑难。
lecture_invite,客座讲席,midlife,study,Uncommon,15,ox,self:17,1.00,false,legacy_study_1,false,台下坐着二十年前的自己。
field_authority,领域权威,midlife,study,Rare,18,ox,zod:0/140,1.00,false,legacy_study_1,false,别人引用你了。
second_income,第二收入,midlife,wealth,Uncommon,15,dragon,self:12|adj:4/45/1,1.00,false,legacy_wealth_1,false,睡着的时候也在进钱。
investment,投资,midlife,wealth,Rare,17,dragon,self:19,1.00,false,legacy_wealth_1,false,看对了一次。
quiet_years,清闲,senior,,Common,13,pig,self:15,1.00,false,,false,终于没什么非做不可。
elder_respect,德高望重,senior,,Rare,21,pig,adj:8/80/2,1.00,false,,false,说话有人听。
calligraphy,书法,senior,art,Common,16,monkey,adj:7/60/1,1.00,false,legacy_art_1,false,一笔下去不能改。
retrospective,回顾展,senior,art,Rare,22,monkey,zod:8/110,1.00,false,legacy_art_1,false,最早那幅挂在最前面。
old_neighbors,老街坊,senior,social,Common,15,rooster,adj:8/55/1,1.00,false,legacy_social_1,false,谁家的事都知道。
grandchild,孙辈,senior,social,Rare,22,rooster,zod:6/120,1.00,false,legacy_social_1,false,他管你叫的那个称呼很好听。
morning_walk,晨练,senior,sport,Common,16,horse,self:19,1.00,false,legacy_sport_1,false,公园里都是熟脸。
sport_legacy,体坛旧事,senior,sport,Uncommon,19,horse,adj:8/75/1,1.00,false,legacy_sport_1,false,剪报还留着。
memoir,回忆录,senior,study,Uncommon,19,goat,self:22,1.00,false,legacy_study_1,false,写到一半才发现忘了很多。
lifetime_award,终身成就,senior,study,Rare,23,goat,zod:0/150,1.00,false,legacy_study_1,false,奖杯比想象中沉。
pension,退休金,senior,wealth,Uncommon,19,dog,self:24,1.00,false,legacy_wealth_1,false,每月固定的那天。
estate,家业,senior,wealth,Rare,24,dog,self:16|zod:0/90,1.00,false,legacy_wealth_1,false,分不分是个问题。
serenity,安详,twilight,,Common,16,snake,self:18,1.00,false,,false,怕的东西越来越少。
legend,传说,twilight,,Legendary,30,snake,adj:12/90/2,1.00,false,,false,别人讲你的时候，你不在场。
teahouse_tale,茶馆闲话,twilight,art,Common,19,tiger,adj:9/65/1,1.00,false,legacy_art_1,false,同一个故事讲第五遍。
final_piece,封笔之作,twilight,art,Rare,27,tiger,zod:10/120,1.00,false,legacy_art_1,false,落款时手抖了一下。
great_grandchild,曾孙,twilight,social,Rare,27,rabbit,zod:8/130,1.00,false,legacy_social_1,false,抱不动了，只能摸摸头。
lifelong_companion,老伴,twilight,social,Rare,30,rabbit,zod:0/140,1.00,false,legacy_social_1,false,不说话也不冷场。
slow_steps,缓步,twilight,sport,Common,19,rat,self:23,1.00,false,legacy_sport_1,false,从门口走到院子要歇一次。
old_champion,昔日冠军,twilight,sport,Uncommon,23,rat,adj:10/80/1,1.00,false,legacy_sport_1,false,照片上的人在笑。
last_lecture,最后一课,twilight,study,Uncommon,23,ox,self:27,1.00,false,legacy_study_1,false,讲完把粉笔放下。
